"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"196","2015-01-01 12:46:50","2015-01-01 12:50:07","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1047","Subscriber","1988","1"
"761","2015-01-01 13:03:47","2015-01-01 13:16:28","115","Porter Square Station","42.387995","-71.119084","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","779","Subscriber","1991","1"
"441","2015-01-01 13:07:47","2015-01-01 13:15:09","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1276","Subscriber","1985","1"
"484","2015-01-01 13:12:09","2015-01-01 13:20:13","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","868","Subscriber","1989","2"
"470","2015-01-01 13:12:35","2015-01-01 13:20:25","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","983","Subscriber",\N,"0"
"1453","2015-01-01 13:12:49","2015-01-01 13:37:02","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","143","EF - North Point Park","42.369885","-71.069957","656","Subscriber","1988","1"
"1454","2015-01-01 13:23:02","2015-01-01 13:47:16","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","1083","Subscriber",\N,"0"
"1405","2015-01-01 13:23:59","2015-01-01 13:47:25","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","854","Subscriber",\N,"0"
"587","2015-01-01 13:28:41","2015-01-01 13:38:28","141","Kendall Street","42.363560158429884","-71.08216792345047","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","577","Subscriber","1957","2"
"1232","2015-01-01 13:41:06","2015-01-01 14:01:38","143","EF - North Point Park","42.369885","-71.069957","143","EF - North Point Park","42.369885","-71.069957","656","Subscriber","1988","1"
"589","2015-01-01 13:57:15","2015-01-01 14:07:05","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","488","Subscriber",\N,"0"
"890","2015-01-01 14:06:25","2015-01-01 14:21:15","143","EF - North Point Park","42.369885","-71.069957","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","656","Subscriber","1988","1"
"332","2015-01-01 14:14:19","2015-01-01 14:19:52","140","Danehy Park","42.388966","-71.132788","115","Porter Square Station","42.387995","-71.119084","662","Customer","1990","2"
"380","2015-01-01 14:18:44","2015-01-01 14:25:04","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","642","Subscriber","1985","2"
"746","2015-01-01 14:20:28","2015-01-01 14:32:55","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","488","Subscriber",\N,"0"
"1040","2015-01-01 14:23:16","2015-01-01 14:40:37","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","725","Subscriber","1989","2"
"1057","2015-01-01 14:23:29","2015-01-01 14:41:07","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","673","Subscriber",\N,"0"
"571","2015-01-01 14:24:36","2015-01-01 14:34:07","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","107","Ames St at Main St","42.3625","-71.08822","134","Subscriber","1986","1"
"386","2015-01-01 14:29:33","2015-01-01 14:35:59","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1095","Subscriber","1991","2"
